                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 2.6791,                 2.1628,                 2.4283,                0.32688,                0.34256,                0.23431,                0.07348,                 2.6233,                 1.8671,                 2.0427,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.6309,                  2.275,                 2.2588,                0.32854,                0.32526,                0.23623,                0.07287,                   2.63,                 1.8779,                 2.0417,              0.0002378,              0.0002378,              0.0002378
                     91,                  2.702,                  2.099,                 2.1153,                 0.3395,                0.36448,                0.26027,                0.08351,                  2.579,                  1.827,                 2.0113,               0.000218,               0.000218,               0.000218
                     92,                 2.5752,                 2.6471,                 2.2247,                0.34499,                0.37486,                0.26917,                0.08849,                 2.5566,                 1.8168,                 1.9989,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.7515,                 2.0316,                 2.1782,                0.35703,                 0.3737,                 0.2775,                0.09117,                 2.5479,                 1.8128,                 1.9919,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.6151,                 2.0392,                 2.1813,                 0.3613,                0.36563,                0.28478,                0.09432,                 2.5589,                 1.8167,                 1.9944,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.6168,                 2.1624,                 2.1984,                 0.3535,                0.34371,                0.27772,                 0.0967,                 2.5957,                 1.8188,                 2.0039,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.6566,                 2.1188,                 2.1618,                0.35066,                0.34602,                0.27615,                0.09671,                 2.6027,                 1.8247,                 2.0036,               0.000119,               0.000119,               0.000119
                     97,                 2.7426,                 2.0318,                 2.1365,                0.34864,                 0.3414,                0.27402,                0.09785,                  2.597,                 1.8265,                 1.9979,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.7096,                 1.9904,                 2.1105,                0.35654,                0.34141,                0.27574,                0.09928,                 2.5846,                 1.8291,                 1.9892,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.6273,                 1.9535,                 2.0883,                0.34419,                0.34141,                0.27461,                0.10283,                 2.5645,                 1.8282,                 1.9753,               5.96e-05,               5.96e-05,               5.96e-05
