                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 2.7618,                 1.9048,                 2.1483,                0.34318,                0.39331,                0.26648,                0.08888,                 2.4893,                 3.5659,                 1.9616,              0.0015793,              0.0015793,              0.0015793
                     87,                 2.7883,                 2.0804,                  2.205,                0.34459,                0.35063,                0.22502,                0.06968,                 2.6536,                   8.27,                 2.0367,              0.0015743,              0.0015743,              0.0015743
                     88,                 2.7839,                 2.3485,                 2.4728,                0.35922,                0.37486,                0.25299,                0.07656,                 2.6398,                 6.9705,                  2.039,              0.0015693,              0.0015693,              0.0015693
                     89,                 2.6803,                 2.3292,                 2.4194,                0.39409,                0.41522,                0.30648,                0.09369,                 2.5366,                 3.1676,                 1.9932,              0.0015644,              0.0015644,              0.0015644
                     90,                 2.5556,                 2.0189,                 2.1439,                0.38387,                0.45213,                0.31503,                0.09857,                 2.4836,                 2.1176,                 1.9747,              0.0015594,              0.0015594,              0.0015594
                     91,                 2.8208,                 2.0649,                 2.1697,                0.32709,                0.38754,                0.27455,                0.07845,                 2.5565,                 1.9385,                 1.9877,              0.0015545,              0.0015545,              0.0015545
                     92,                 2.6158,                 1.9495,                 2.0199,                0.32583,                0.36959,                0.26429,                 0.0746,                 2.5865,                 1.8939,                   2.01,              0.0015496,              0.0015496,              0.0015496
                     93,                 2.6299,                 1.9312,                 2.1314,                0.38085,                0.38754,                0.30914,                0.09323,                 2.5133,                  1.829,                  1.994,              0.0015446,              0.0015446,              0.0015446
                     94,                 2.4921,                 1.9246,                 2.0796,                0.43244,                0.43483,                0.34932,                0.12004,                 2.4066,                 1.7326,                 1.9331,              0.0015397,              0.0015397,              0.0015397
                     95,                 2.5661,                 1.9148,                 2.0815,                  0.427,                0.46021,                0.34603,                0.12474,                 2.3093,                 1.7157,                 1.8799,              0.0015347,              0.0015347,              0.0015347
                     96,                 2.6479,                   1.83,                 1.9145,                0.46184,                0.45829,                0.36258,                0.13067,                 2.3026,                 1.7141,                 1.8796,              0.0015298,              0.0015298,              0.0015298
                     97,                  2.617,                 2.1269,                  2.126,                 0.4185,                0.46597,                0.35568,                0.12709,                 2.3271,                 1.7103,                 1.8949,              0.0015248,              0.0015248,              0.0015248
                     98,                 2.4919,                 1.9771,                 2.1011,                0.42326,                0.44291,                0.34832,                0.11976,                 2.3613,                 1.7153,                 1.9118,              0.0015199,              0.0015199,              0.0015199
                     99,                 2.5391,                 1.9332,                 2.1684,                0.45024,                0.44175,                0.34134,                0.11944,                  2.331,                  1.754,                 1.8912,              0.0015149,              0.0015149,              0.0015149
                    100,                  2.576,                 1.7381,                 1.8774,                0.41896,                0.42215,                0.33005,                 0.1122,                 2.3504,                 1.8262,                 1.9049,              0.0015099,              0.0015099,              0.0015099
                    101,                 2.4832,                 1.8572,                 2.1021,                0.42433,                0.38684,                0.31407,                 0.1065,                 2.3843,                 1.9665,                 1.9132,               0.001505,               0.001505,               0.001505
                    102,                 2.5231,                 1.8038,                 1.9913,                0.42674,                0.41407,                0.34008,                0.12145,                 2.3288,                 1.9607,                 1.8753,              0.0015001,              0.0015001,              0.0015001
                    103,                 2.5389,                  1.836,                 1.9652,                0.44365,                0.44793,                0.36628,                0.14099,                 2.2704,                 2.0957,                 1.8534,              0.0014951,              0.0014951,              0.0014951
                    104,                 2.4333,                 2.1826,                 2.2999,                0.45353,                0.46597,                0.37373,                0.14383,                 2.2584,                 2.2443,                 1.8418,              0.0014901,              0.0014901,              0.0014901
                    105,                 2.3807,                 2.0382,                 2.0771,                0.45644,                0.46878,                0.37762,                0.14709,                 2.2558,                 2.1966,                 1.8379,              0.0014852,              0.0014852,              0.0014852
                    106,                 2.3476,                 1.7647,                 2.0081,                0.45469,                0.43483,                0.38374,                  0.152,                 2.2556,                 2.1894,                 1.8234,              0.0014803,              0.0014803,              0.0014803
                    107,                 2.4675,                 1.8542,                 1.9455,                0.37638,                0.37486,                0.28886,                0.11851,                  2.255,                  2.121,                 1.8369,              0.0014753,              0.0014753,              0.0014753
                    108,                 2.4094,                 1.9032,                 2.0567,                 0.2691,                0.42907,                0.23175,                0.08781,                  2.268,                 1.9945,                 1.8452,              0.0014703,              0.0014703,              0.0014703
                    109,                 2.4254,                 1.9861,                 2.0175,                0.19146,                0.46828,                0.16631,                0.05919,                 2.3162,                  2.108,                  1.872,              0.0014654,              0.0014654,              0.0014654
                    110,                 2.4748,                 1.9285,                 1.9472,                0.17894,                 0.4752,                0.13642,                0.04662,                 2.3688,                 2.1923,                 1.8993,              0.0014605,              0.0014605,              0.0014605
                    111,                 2.5088,                  1.884,                 1.9887,                0.41308,                0.41176,                0.34559,                0.11366,                 2.3511,                 1.7503,                 1.8802,              0.0014555,              0.0014555,              0.0014555
                    112,                 2.4872,                 1.8682,                 1.9289,                0.49286,                0.45329,                0.42373,                0.15178,                 2.2933,                 1.6303,                 1.8545,              0.0014505,              0.0014505,              0.0014505
                    113,                 2.4945,                 1.9579,                 2.0619,                0.49605,                0.46713,                0.43129,                0.15995,                  2.254,                 1.5883,                 1.8257,              0.0014456,              0.0014456,              0.0014456
                    114,                 2.4879,                  1.688,                 1.8591,                0.45793,                0.49712,                0.42337,                0.15875,                  2.241,                 1.5621,                 1.8079,              0.0014406,              0.0014406,              0.0014406
                    115,                 2.4401,                 1.9281,                 1.9188,                0.44481,                0.50519,                0.40993,                0.14655,                 2.2571,                 1.5639,                  1.792,              0.0014357,              0.0014357,              0.0014357
                    116,                 2.5259,                 1.9688,                 1.9633,                0.46789,                0.49898,                0.43407,                 0.1625,                 2.2588,                 1.5368,                 1.7957,              0.0014307,              0.0014307,              0.0014307
                    117,                 2.3744,                 2.0233,                 2.1211,                0.51554,                0.48674,                0.47338,                0.18709,                  2.259,                 1.5118,                 1.7981,              0.0014258,              0.0014258,              0.0014258
                    118,                 2.4354,                  1.776,                 2.0203,                0.50167,                0.48558,                0.46951,                0.19502,                 2.2133,                 1.5305,                 1.7782,              0.0014208,              0.0014208,              0.0014208
                    119,                 2.2141,                 1.8221,                 2.0121,                0.44006,                 0.5075,                0.40552,                0.17983,                 2.1618,                 1.5649,                 1.7572,              0.0014159,              0.0014159,              0.0014159
                    120,                 2.2305,                 1.7383,                  1.932,                0.46125,                0.49942,                0.41078,                0.17915,                 2.2075,                  1.533,                 1.7601,               0.001411,               0.001411,               0.001411
                    121,                 2.1396,                 1.6454,                 1.7884,                0.47568,                0.48904,                0.41984,                 0.1799,                 2.2283,                 1.5239,                 1.7632,               0.001406,               0.001406,               0.001406
                    122,                  2.405,                 1.6543,                 1.8389,                0.51436,                0.49481,                0.44867,                0.19521,                  2.167,                 1.5117,                 1.7405,              0.0014011,              0.0014011,              0.0014011
                    123,                 2.3185,                 1.7374,                 2.0694,                0.50823,                0.49469,                0.42924,                0.17684,                 2.2134,                 1.5425,                 1.7623,              0.0013961,              0.0013961,              0.0013961
                    124,                 2.3943,                  1.682,                 1.8728,                0.52708,                0.51162,                0.45762,                0.20163,                 2.0928,                  1.466,                 1.7198,              0.0013912,              0.0013912,              0.0013912
                    125,                 2.2728,                 1.7888,                 1.8768,                0.55395,                0.52941,                0.47504,                 0.2091,                 2.0956,                 1.4324,                 1.7188,              0.0013862,              0.0013862,              0.0013862
