                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 2.7553,                 1.8387,                 1.9486,                  0.364,                0.44756,                0.30831,                0.09442,                 2.5082,                 1.7463,                 1.9524,              0.0018119,              0.0018119,              0.0018119
                     97,                 2.8139,                 2.1444,                 2.1895,                0.36209,                0.41869,                0.30798,                0.09984,                 2.4983,                 1.7341,                 1.9423,              0.0018099,              0.0018099,              0.0018099
                     98,                 2.5549,                 2.0504,                 2.1356,                0.34627,                0.43253,                0.30982,                0.09911,                 2.4959,                 1.7705,                 1.9582,              0.0018079,              0.0018079,              0.0018079
                     99,                 2.6686,                 2.0554,                 2.1876,                0.32075,                0.39562,                0.26617,                0.08162,                 2.5541,                 1.8204,                 1.9998,               0.001806,               0.001806,               0.001806
                    100,                 2.7135,                 1.8636,                 1.9465,                0.31599,                0.40484,                0.26545,                 0.0817,                 2.5472,                 1.8108,                 1.9948,               0.001804,               0.001804,               0.001804
                    101,                 2.5771,                  1.954,                 2.1669,                0.33189,                0.40138,                 0.2618,                 0.0808,                 2.5179,                 1.8257,                  1.982,               0.001802,               0.001802,               0.001802
                    102,                 2.6326,                 1.9128,                 2.0483,                0.31066,                0.41061,                0.22045,                0.06916,                 2.5573,                 1.9353,                 2.0023,                 0.0018,                 0.0018,                 0.0018
                    103,                 2.7048,                 1.9213,                 2.0342,                0.29402,                 0.3737,                0.22324,                0.07438,                 2.5563,                 2.1507,                 2.0072,               0.001798,               0.001798,               0.001798
                    104,                 2.5188,                 2.3126,                 2.3034,                0.33297,                0.36217,                0.25496,                0.08562,                 2.5078,                 2.1536,                 1.9739,              0.0017961,              0.0017961,              0.0017961
                    105,                 2.4616,                 2.2313,                 2.0896,                0.37989,                  0.406,                0.29832,                0.09978,                   2.46,                 2.0808,                 1.9489,              0.0017941,              0.0017941,              0.0017941
                    106,                 2.4677,                 1.9254,                 2.0418,                0.37535,                0.42676,                0.30028,                0.10128,                 2.4621,                 2.1054,                 1.9395,              0.0017921,              0.0017921,              0.0017921
                    107,                 2.4933,                 1.9453,                 1.9759,                0.29735,                0.42676,                0.24499,                0.07482,                 2.5905,                 2.1876,                 1.9748,              0.0017901,              0.0017901,              0.0017901
                    108,                  2.517,                 1.9739,                  2.079,                0.23926,                0.42676,                0.22204,                0.07419,                  2.503,                 2.1065,                 1.9162,              0.0017881,              0.0017881,              0.0017881
                    109,                 2.5108,                  2.025,                 2.0623,                0.27732,                0.47636,                 0.2622,                0.09421,                 2.3746,                 1.9413,                 1.8679,              0.0017862,              0.0017862,              0.0017862
                    110,                 2.6073,                  1.951,                 2.0044,                0.41041,                0.43483,                0.33061,                0.10572,                 2.4114,                 1.7853,                 1.8827,              0.0017842,              0.0017842,              0.0017842
                    111,                 2.6409,                 1.8896,                 2.0449,                0.41531,                0.46943,                0.36117,                0.11712,                 2.4708,                 1.6745,                 1.9143,              0.0017822,              0.0017822,              0.0017822
                    112,                 2.5278,                 1.8945,                  1.967,                0.38802,                0.46136,                0.34177,                0.12656,                  2.356,                 1.6951,                 1.8835,              0.0017802,              0.0017802,              0.0017802
                    113,                 2.5145,                  1.995,                 2.0507,                0.34491,                0.46274,                0.30406,                0.11291,                  2.387,                 1.7401,                 1.9053,              0.0017782,              0.0017782,              0.0017782
